,,COUNTRY,DOB,HT/WT,NICKNAME,REACH,STANCE,TEAM,WEIGHT,WT CLASS
cub-swanson,,USA,11/2/1983 (35),"5' 8"", 145 lbs",,"70""",Orthodox,Jackson-Wink MMA,,Featherweight
darren-uyenoyama,,USA,10/15/1979 (40),"5' 6"", 125 lbs",BC,"64.5""",Orthodox,Faito Tamashii Combat Club,,Flyweight
matt-lucas,,USA,,,Luke Duke,,,Arizona Combat Sports,,Light Heavyweight
cung-le,,Vietnam,5/25/1972,,,"70""",Southpaw,Cung Le's Universal Strength Headquarters,,Middleweight
alex-soto,,USA,2/15/1984,,Extremo,"71""",Southpaw,Team Hurricane Awesome,,
jason-miller,,USA,12/24/1980 (38),"6' 1"", 205 lbs",Mayhem,,Orthodox,Reign MMA,,Middleweight
dennis-bermudez,,USA,12/13/1986 (32),"5' 6"", 155 lbs",The Menace,"66""",Orthodox,Long Island MMA,,Featherweight
diego-brandao,,Brazil,5/27/1987 (32),"5' 7"", 155 lbs",DB,"68.5""",Orthodox,Jackson-Wink MMA,,Featherweight
tj-dillashaw,,USA,2/7/1986 (33),"5' 6"", 135 lbs",,"67""",Orthodox,Treigning Lab,,Bantamweight
john-dodson,,USA,9/26/1984 (35),"5' 3"", 135 lbs",The Magician,"66""",Orthodox,Jackson-Wink MMA,,Bantamweight
louis-gaudinot,,USA,8/28/1984 (35),"5' 3"", 125 lbs",Goodnight,"63""",Orthodox,Team Tiger Schulman,,Flyweight
johnny-bedford,,,,,,,,,,
stephen-bass,,USA,11/14/1982,,Bigfish,,,,,
marcus-brimage,,USA,4/6/1985 (34),"5' 4"", 135 lbs",The Bama Beast,"71""",Southpaw,American Top Team,,Bantamweight
john-albert,,USA,10/13/1986,,Prince,"68""",,Victory MMA,,Bantamweight
dustin-pague,,USA,8/5/1987,,The Disciple,"74.5""",Orthodox,Disciple MMA,,
roland-delorme,,Canada,12/18/1983,,Stunning,"71""",Orthodox,Winnipeg Academy of MMA,,
josh-ferguson,,,,,,,,,,
josh-clopton,,USA,7/11/1981,,The Gentlemen,,Orthodox,Skrap Pack,,
steven-siler,,USA,2/15/1987 (32),"5' 10"", 145 lbs",Super,"70""",Orthodox,FactoryX Muay Thai,,Featherweight
bryan-caraway,,USA,8/4/1984 (35),"5' 8"", 135 lbs",Kid Lightning,"68""",Orthodox,Xtreme Couture,,Bantamweight
dustin-neace,,USA,9/12/1986,,The Beast,,,Damage Inc.,,Featherweight
jake-hecht,,USA,2/9/1984,,Hitman,"76""",Orthodox,Fiore MMA,,
john-cholish,,USA,12/17/1983,,,"74""",Orthodox,Renzo Gracie Jiu-Jitsu,,
mitch-clarke,,Canada,11/24/1985 (33),"5' 10"", 155 lbs",Danger Zone,"73""",Orthodox,Hayabusa Training Centre,,Lightweight
alistair-overeem,,Netherlands,5/17/1980 (39),"6' 4"", 240 lbs",The Demolition Man,"80""",Orthodox,Elevation Fight Team,,Heavyweight
carlo-prater,,Brazil,6/25/1981 (38),"6' 0"", 155 lbs",Neo,"72""",Switch,Thugjitsu,,
ednaldo-oliveira,,Brazil,2/19/1984 (35),"6' 7"", 205 lbs",Lula,,Orthodox,Champion Team,,Heavyweight
antonio-carvalho,,Canada,5/30/1979,,Pato,"70""",Orthodox,Bruckmann MMA,,
jared-papazian,,USA,2/1/1988 (31),"5' 8"", 125 lbs",The Jackhammer,"67""",Southpaw,,,Flyweight
khabib-nurmagomedov,,Russia,9/20/1988 (31),"5' 10"", 155 lbs",The Eagle,"70""",Orthodox,AKA (American Kickboxing Academy),,Lightweight
tommy-hayden,,USA,3/11/1986,,Wild Card,"72""",Southpaw,Team Jorge Gurgel,,Lightweight
daniel-pineda,,USA,8/6/1985 (34),"5' 7"", 145 lbs",The Pit,"69""",Orthodox,4oz Fight Club,,Featherweight
pat-schilling,,USA,8/28/1988,,Thrilling,"69""",Orthodox,Ambition Training Academy,,Featherweight
nick-denis,,Canada,10/11/1983,,The Ninja of Love,,Orthodox,Ronin MMA,,Bantamweight
eric-wisely,,USA,7/25/1984 (35),"5' 8"", 155 lbs",Little Lee,,Southpaw,Team Conquest,,
lavar-johnson,,USA,6/11/1977,,Big,"82""",Orthodox,Pro Buhawe,,Heavyweight
max-holloway,,USA,12/4/1991 (27),"5' 11"", 145 lbs",Blessed,"69""",Orthodox,Hawaii Elite MMA,,Featherweight
henry-martinez,,USA,8/7/1983,,Sicario,"68""",Southpaw,Jackson-Wink MMA,,Lightweight
michael-kuiper,,Netherlands,6/7/1989,,Judo,"73""",Orthodox,Perfect Team,,Middleweight
stephen-thompson,,USA,2/11/1983 (36),"6' 0"", 170 lbs",Wonderboy,"75""",Orthodox,Team Upstate Karate,,Welterweight
dan-stittgen,,USA,11/17/1980,,The Anvil,,Orthodox,Midwest MMA,,
anton-kuivanen,,Finland,5/1/1984 (35),"5' 9"", 155 lbs",,"72""",Orthodox,American Top Team,,Lightweight
justin-salas,,USA,,"5' 8"", 155 lbs",J-Bomb,"70""",Southpaw,Grudge Training Center,,
tim-means,,USA,2/20/1984 (35),"6' 2"", 170 lbs",The Dirty Bird,"75""",Orthodox,Fit NHB,,Welterweight
bernardo-magalhaes,,Australia,4/8/1981,,Trekko,"65""",Orthodox,TP Fight Team,,
eiji-mitsuoka,,Japan,1/1/1976,,,,Southpaw,Freelance,,
issei-tamura,,Japan,3/12/1984 (35),"5' 5"", 145 lbs",,"63""",Orthodox,Krazy Bee,,Bantamweight
yasuhiro-urushitani,,Japan,9/8/1976,,,,Southpaw,Wajutsu Keishukai Tokyo,,Flyweight
ian-mccall,,USA,7/5/1984 (35),"5' 5"", 125 lbs",Uncle Creepy,"64""",Orthodox,Team Oyama,,Flyweight
nick-penner,,Canada,3/26/1980,,The Quiet Assassin,"77""",Southpaw,Hayabusa Training Centre,,Light Heavyweight
andrew-craig,,USA,1/15/1986,,Highlight,"76""",Orthodox,Team Tooke,,Middleweight
shawn-jordan,,USA,10/21/1984 (34),"6' 0"", 255 lbs",The Savage,"75.5""",Southpaw,Jackson-Wink MMA,,Heavyweight
oli-thompson,,England,1/2/1980 (39),"6' 1"", 232 lbs",,"75""",Orthodox,ZT Fight Skool,,
siyar-bahadurzada,,Afghanistan,4/17/1984 (35),"5' 11"", 170 lbs",The Great,"73""",Orthodox,Jackson-Wink MMA,,Welterweight
tom-deblass,,USA,5/14/1982,,,"75""",Orthodox,Ricardo Almeida Jiu-Jitsu,,Middleweight
magnus-cedenblad,,Sweden,4/10/1982 (37),"6' 3"", 185 lbs",Jycken,"79""",Orthodox,Pancrase Gym Sweden,,Middleweight
reza-madadi,,Iran,6/20/1980 (39),"5' 11"", 155 lbs",Mad Dog,"72.5""",Orthodox,Hilti NHB,,Lightweight
yoislandy-izquierdo,,USA,1/9/1984,,Cuba,,Southpaw,Young Tigers,,Lightweight
simeon-thoresen,,Norway,3/14/1984,,The Grin,"79""",Orthodox,Frontline Academy,,Welterweight
besam-yousef,,Sweden,3/25/1985,,,"71""",Orthodox,Gladius MMA,,Welterweight
chad-griggs,,USA,5/15/1978,,The Grave Digger,"73""",Orthodox,APEX MMA,,Light Heavyweight
chris-clements,,Canada,2/9/1976,,The Menace,"70""",Orthodox,Team Tompkins,,Welterweight
maximo-blanco,,Venezuela,10/16/1983 (36),"5' 8"", 145 lbs",Maxi,"71""",Orthodox,Yoshida Dojo,,Featherweight
tim-elliott,,USA,12/24/1986 (32),"5' 7"", 125 lbs",,"66""",Southpaw,805 Fight Club,,Flyweight
john-lineker,,Brazil,6/12/1990 (29),"5' 3"", 135 lbs",Hands of Stone,"67""",Orthodox,Emporium,,Bantamweight
marcus-levesseur,,USA,7/17/1983,,The Prospect,"70""",Southpaw,Minnesota Fight Factory,,Lightweight
antonio-silva,,Brazil,9/14/1979 (40),"6' 4"", 265 lbs",Bigfoot,"80""",Orthodox,Team Nogueira,,Heavyweight
shane-del-rosario,,USA,9/23/1983,,,,Southpaw,Team Oyama,,Heavyweight
glover-teixeira,,Brazil,10/28/1979 (39),"6' 2"", 205 lbs",,"76""",Orthodox,Teixeira MMA & Fitness,,Light Heavyweight
john-cofer,,USA,4/29/1984,,,,Southpaw,Hardcore Gym,,
justin-lawrence,,USA,5/15/1990 (29),"5' 8"", 145 lbs",The American Kid,"67""",Orthodox,Black House,,Lightweight
daron-cruickshank,,USA,6/11/1985 (34),"5' 8"", 155 lbs",Detroit Superstar,"72""",Switch,Michigan Top Team,,Lightweight
chris-tickle,,USA,2/1/1982 (37),"5' 9"", 155 lbs",Bad Boy,,,Fiore MMA,,
chris-saunders,,USA,3/11/1986,,The So Cal Kid,,,,,
myles-jury,,USA,10/31/1988 (30),"5' 10"", 155 lbs",Fury,"73""",Orthodox,Alliance MMA,,Featherweight
cristiano-marcello,,Brazil,,,,"72""",Orthodox,CM System,,Lightweight
sam-sicilia,,USA,2/1/1986 (33),"5' 8"", 145 lbs",,"67""",Orthodox,Sikjitsu,,Featherweight
jeremy-larsen,,USA,3/11/1986,,,"70""",Orthodox,Arizona Combat Sports,,
joe-proctor,,USA,8/10/1985 (34),"5' 10"", 170 lbs",,"72""",Orthodox,Team Aggression,,Welterweight
erik-perez,,Mexico,11/19/1989 (29),"5' 8"", 145 lbs",El Goyito,"68""",Orthodox,Jackson-Wink MMA,,Bantamweight
caio-magalhaes,,Brazil,12/14/1987 (31),"6' 1"", 185 lbs",Hellboy,"73""",Orthodox,Teixeira MMA & Fitness,,Middleweight
buddy-roberts,,USA,10/17/1982,,,,Orthodox,Jackson-Wink MMA,,Middleweight
cj-keith,,USA,8/9/1986 (33),"6' 0"", 155 lbs",,,Orthodox,Pro Buhawe,,Lightweight
brock-jardine,,USA,7/10/1985,,The Machine,"73""",Orthodox,The Pit Elevated Fight Team,,Welterweight
joey-gambino,,,,,,,,,,
sergio-moraes,,Brazil,7/23/1982 (37),"6' 0"", 170 lbs",The Panther,"72""",Orthodox,Alliance Jiu-Jitsu,,Welterweight
cezar-ferreira,,Brazil,2/15/1985 (34),"6' 1"", 185 lbs",Mutante,"78.5""",Southpaw,MMA Masters,,Middleweight
rony-jason,,,,,,,,,,
godofredo-pepey,,Brazil,7/2/1987 (32),"5' 7"", 145 lbs",Pepey,"73.5""",Orthodox,Marcio Cupim Team,,Featherweight
hacran-dias,,Brazil,5/16/1984 (35),"5' 8"", 155 lbs",,"69""",Orthodox,,,Lightweight
rodrigo-damm,,Brazil,2/3/1980,,,"71""",Orthodox,Alliance Jiu-Jitsu,,Lightweight
anistavio-medeiros,,Brazil,5/1/1988,,,,Orthodox,,,Featherweight
delson-heleno,,Brazil,,"5' 11"", 170 lbs",Pe de Chumbo,,Orthodox,,,
francisco-trinaldo,,Brazil,8/24/1978 (41),"5' 9"", 155 lbs",Massaranduba,"70""",Southpaw,Constrictor Team,,Lightweight
john-teixeira,,,,,,,,,,
hugo-viana,,Brazil,9/26/1982 (37),"5' 6"", 135 lbs",Wolverine,"67.5""",Orthodox,Champion Team,,Bantamweight
thiago-perpetuo,,Brazil,12/14/1987 (31),"5' 10"", 170 lbs",Bodao,,Orthodox,,,
leonardo-mafra,,Brazil,4/25/1989,,Macarrao,"70""",Orthodox,,,Lightweight
wagner-campos,,,,,,,Southpaw,,,Catchweight
marcos-vinicius,,Brazil,12/5/1979 (39),"5' 9"", 135 lbs",Vina,,Orthodox,,,
milton-vieira,,,,,,,,,,
marcelo-guimaraes,,Brazil,6/25/1983 (36),"6' 0"", 185 lbs",Magrao,"73""",Orthodox,Caveira Team,,Middleweight
hector-lombard,,Cuba,2/2/1978 (41),"5' 9"", 185 lbs",Lightning,"71""",Southpaw,UFD Gym,,Middleweight
ryan-jimmo,,Canada,11/27/1981,,Big Deal,"73""",Orthodox,Blackzilians,,Light Heavyweight
mitch-gagnon,,Canada,10/10/1984 (35),"5' 5"", 135 lbs",,"65.5""",Southpaw,Troop MMA,,Bantamweight
wagner-prado,,Brazil,12/30/1986 (32),"6' 4"", 205 lbs",CALDEIRAO,"74""",Southpaw,Team Nogueira,,Light Heavyweight
ulysses-gomez,,USA,5/25/1983,,Useless,"66""",Orthodox,Xtreme Couture,,Flyweight
john-moraga,,USA,3/20/1984 (35),"5' 6"", 125 lbs",Chicano,"66""",Orthodox,MMA LAB,,Flyweight
chico-camus,,USA,1/26/1985 (34),"5' 6"", 135 lbs",The King,"66""",Orthodox,Roufusport,,Flyweight
roger-hollett,,Canada,10/8/1978,,The Hulk,"70""",Orthodox,,,Light Heavyweight
jimi-manuwa,,England,2/18/1980 (39),"6' 1"", 205 lbs",Poster Boy,"79.5""",Orthodox,Allstars Training Center,,Light Heavyweight
akira-corassani,,Sweden,8/27/1982,,,"68""",Orthodox,Renzo Gracie Jiu-Jitsu,,Featherweight
andy-ogle,,England,2/16/1989,,The Little Axe,"69""",Orthodox,,,Featherweight
tom-watson,,,,,,,,,,
gunnar-nelson,,Iceland,7/28/1988 (31),"5' 11"", 170 lbs",Gunni,"72""",Switch,SBG Ireland,,Welterweight
jay-hieron,,,7/29/1976,,The Thoroughbred,"75""",Orthodox,Xtreme Couture,,Welterweight
jussier-formiga,,Brazil,4/14/1985 (34),"5' 5"", 125 lbs",,"67""",Orthodox,Nova Uniao,,Flyweight
phil-harris,,,,,,,,,,
renee-forte,,Brazil,,,,"71""",Orthodox,Team Nogueira,,Welterweight
jon-tuck,,Guam,8/28/1984 (35),"5' 11"", 155 lbs",Super Saiyan,"73""",Orthodox,The Arena,,Lightweight
motonobu-tezuka,,,,,,,,,,
ray-wood,,USA,,"5' 8"", 155 lbs",,,,,,
john-raio,,USA,,,,,,,,
azamat-gashimov,,Ukraine,4/7/1990,,,"66""",Orthodox,K Dojo,,Flyweight
abel-trujillo,,USA,9/18/1983 (36),"5' 8"", 155 lbs",Killa,"70""",Orthodox,Blackzilians,,Lightweight
colin-fletcher,,England,1/8/1983 (36),"6' 2"", 170 lbs",,"78""",Orthodox,United Gym,,Lightweight
norman-parke,,Northern Ireland,12/22/1986 (32),"5' 10"", 155 lbs",Stormin,"70""",,,,Lightweight
yaotzin-meza,,USA,1/30/1981 (38),"5' 9"", 145 lbs",,"74""",Orthodox,MMA LAB,,Featherweight
manuel-rodriguez,,Australia,4/25/1985,,Chalate,"68""",Orthodox,TP Fight Team,,Welterweight
ben-alloway,,Australia,2/19/1981 (38),"5' 10"", 170 lbs",Benny Blanco,"75""",Orthodox,Fiore MMA,,Welterweight
mike-wilkinson,,England,9/15/1987 (32),"5' 8"", 145 lbs",The Warrior,"68""",,Atherton Submission Wrestling,,Featherweight
brendan-loughnane,,England,12/5/1989 (29),"5' 10"", 145 lbs",,"70.5""",Switch,Mosside Ground and Pound,,Lightweight
cody-donovan,,USA,2/20/1981,,Donnybrook,"74""",Orthodox,Grudge Training Center,,Light Heavyweight
mike-ricci,,Canada,3/18/1986 (33),"6' 0"", 155 lbs",The Martian,"77""",Southpaw,TriStar Gym,,Lightweight
colton-smith,,USA,8/14/1987 (32),"6' 0"", 170 lbs",,"71""",Orthodox,Vanguard,,Lightweight
vinc-pichel,,USA,11/23/1982 (36),"5' 10"", 155 lbs",From Hell,"72""",Orthodox,,,Lightweight
rustam-khabilov,,Russia,11/4/1986 (32),"5' 8"", 155 lbs",Tiger,"73""",Orthodox,Jackson-Wink MMA,,Lightweight
mike-rio,,USA,7/6/1981,,The Wolverine,"70""",Orthodox,Zen Jiu-Jitsu,,
derek-brunson,,USA,1/4/1984 (35),"6' 1"", 185 lbs",,"77""",Southpaw,Hard Knocks 365,,Middleweight
daniel-sarafian,,Brazil,8/21/1982 (37),"6' 0"", 205 lbs",,"73""",Orthodox,,,Middleweight
lucas-martins,,Brazil,11/11/1988 (30),"5' 11"", 145 lbs",Mineiro,"72""",Southpaw,Chute Boxe,,Featherweight
pedro-nobre,,Brazil,2/13/1986 (33),"5' 5"", 125 lbs",,,,Brazilian Top Team,,
ildemar-alcantara,,,,,,,,,,
sean-spencer,,USA,6/25/1987 (32),"5' 10"", 170 lbs",,"75.5""",,,,Welterweight
tyron-woodley,,USA,4/7/1982 (37),"5' 9"", 170 lbs",The Chosen One,"74""",Orthodox,Roufusport,,Welterweight
bobby-green,,USA,9/9/1986 (33),"5' 10"", 155 lbs",King,"71""",Orthodox,Pinnacle Fighting Systems,,Lightweight
isaac-vallie-flagg,,USA,4/8/1978 (41),"5' 8"", 155 lbs",,"68.5""",Orthodox,Jackson-Wink MMA,,Lightweight
dustin-kimura,,USA,5/21/1989,,The Diamond,"71""",Orthodox,,,Bantamweight
liz-carmouche,,USA,2/19/1984 (35),"5' 6"", 125 lbs",Girl-Rilla,"66""",Orthodox,Team Hurricane Awesome,,Women's Flyweight
ronda-rousey,,USA,2/1/1987 (32),"5' 7"", 135 lbs",Rowdy,"68""",Orthodox,Glendale Fighting Club,,Women's Bantamweight
robbie-lawler,,USA,3/20/1982 (37),"5' 11"", 170 lbs",Ruthless,"74""",Southpaw,Combat Club,,Welterweight
michael-chiesa,,USA,12/7/1987 (31),"6' 1"", 170 lbs",Maverick,"75.5""",Southpaw,Sikjitsu,,Welterweight
caros-fodor,,USA,1/7/1984 (35),"5' 9"", 155 lbs",The Future,"74""",Orthodox,AMC Pankration,,
neil-magny,,USA,8/3/1987 (32),"6' 3"", 170 lbs",,"80""",Orthodox,Elevation Fight Team,,Welterweight
jon-manley,,USA,7/7/1986 (33),"6' 0"", 170 lbs",,,Orthodox,Team Link,,Welterweight
nah-shon-burrell,,USA,2/5/1990 (29),"6' 1"", 185 lbs",The Rock n Rolla,,Orthodox,Fight Firm,,Welterweight
yuri-villefort,,Brazil,3/23/1991 (28),"6' 0"", 170 lbs",,"73""",Orthodox,Blackzilians,,Welterweight
kazuki-tokudome,,,,,,,,,,
bobby-voelker,,USA,4/26/1979 (40),"6' 0"", 170 lbs",Vicious,"74""",Orthodox,Finney's HIT Squad,,
jordan-mein,,Canada,10/10/1989 (30),"6' 0"", 170 lbs",Young Gun,"73""",Orthodox,Canadian Martial Arts Centre,,Welterweight
quinn-mulhern,,USA,9/20/1984,,,,Orthodox,Santa Fe Brazilian Jiu-Jitsu,,
gegard-mousasi,,Netherlands,8/1/1985 (34),"6' 1"", 185 lbs",The Dreamcatcher,"76""",Orthodox,Red Devil Sport Club,,Middleweight
ilir-latifi,,Sweden,7/28/1983 (36),"5' 10"", 205 lbs",The Sledgehammer,"73.5""",Orthodox,Allstars Training Center,,Light Heavyweight
ryan-couture,,USA,8/27/1982 (37),"5' 10"", 155 lbs",,"73""",Orthodox,Xtreme Couture,,Lightweight
tor-troeng,,Sweden,1/25/1983,,The Hammer,"77""",Orthodox,,,Middleweight
adam-cella,,USA,,"6' 2"", 170 lbs",,"78""",,Finney's HIT Squad,,Middleweight
adlan-amagov,,Russia,8/27/1984,,Borz,"76""",Orthodox,Jackson-Wink MMA,,Welterweight
chris-spang,,USA,11/26/1987,,The Kiss,,Orthodox,J-Sect,,
conor-mcgregor,,Ireland,7/14/1988 (31),"5' 9"", 155 lbs",The Notorious,"74""",Southpaw,SBG Ireland,,Lightweight
ryan-laflare,,USA,10/1/1983 (36),"6' 1"", 170 lbs",,"74""",Southpaw,Bellmore Kickboxing Academy,,
uriah-hall,,Jamaica,7/31/1984 (35),"6' 0"", 185 lbs",Prime Time,"79.5""",Orthodox,Fortis MMA,,Middleweight
kelvin-gastelum,,USA,10/24/1991 (27),"5' 9"", 185 lbs",,"71.5""",Southpaw,Kings MMA,,Middleweight
miesha-tate,,USA,8/18/1986 (33),"5' 6"", 135 lbs",Cupcake,"65""",Orthodox,Xtreme Couture,,Women's Bantamweight
cat-zingano,,USA,7/1/1982 (37),"5' 6"", 145 lbs",Alpha,"68""",Southpaw,Zingano BJJ,,Women's Featherweight
bubba-mcdaniel,,,,,,,,,,
gilbert-smith,,USA,,"5' 9"", 170 lbs",,"75""",Southpaw,,,Middleweight
kevin-casey,,USA,6/15/1981 (38),"5' 11"", 185 lbs",King,"77""",Southpaw,Gracie Jiu-Jitsu,,Middleweight
josh-samman,,USA,3/14/1988 (31),"6' 3"", 185 lbs",Anqa,"79""",Orthodox,,,
collin-hart,,USA,,,,"76""",Orthodox,Nor-Cal Fighting Alliance,,Middleweight
luke-barnatt,,England,4/13/1988 (31),"6' 6"", 205 lbs",The Bigslow,"77.5""",Orthodox,Tsunami Gym,,Middleweight
dylan-andrews,,New Zealand,11/15/1979 (39),"6' 3"", 185 lbs",The Villain,"73.5""",Switch,,,Middleweight
jimmy-quinlan,,USA,,,,"72""",Orthodox,,,Middleweight
bristol-marunde,,USA,4/20/1982,,,"71""",Orthodox,Throwdown,,Welterweight
clint-hester,,USA,11/21/1986 (32),"6' 2"", 205 lbs",Headbussa,"77""",Orthodox,Blackzilians,,Light Heavyweight
gilbert-melendez,,USA,4/12/1982 (37),"5' 9"", 145 lbs",El Nino,"73""",Orthodox,El Nino Training Center,,Lightweight
daniel-cormier,,USA,3/20/1979 (40),"5' 11"", 236 lbs",DC,"72.5""",Orthodox,AKA (American Kickboxing Academy),,Heavyweight
josh-thomson,,USA,9/21/1978 (41),"5' 10"", 155 lbs",The Punk,"71""",Orthodox,AKA (American Kickboxing Academy),,Lightweight
lorenz-larkin,,USA,9/3/1986 (33),"5' 11"", 170 lbs",The Monsoon,"72.5""",Orthodox,Millennia MMA,,Welterweight
jorge-masvidal,,USA,11/12/1984 (34),"5' 11"", 170 lbs",Gamebred,"74""",Orthodox,American Top Team,,Welterweight
roger-bowling,,USA,12/5/1982,,Relentless,"68""",Orthodox,Team Vision,,Lightweight
yoel-romero,,Cuba,4/30/1977 (42),"6' 0"", 185 lbs",Soldier of God,"73.5""",Southpaw,American Top Team,,Middleweight
yancy-medeiros,,USA,9/7/1987 (32),"5' 10"", 155 lbs",The Kid,"75.5""",Orthodox,Team Hakuilua,,Lightweight
gian-villante,,USA,8/18/1985 (34),"6' 3"", 205 lbs",,"76""",Orthodox,Bellmore Kickboxing Academy,,Light Heavyweight
ovince-saint-preux,,USA,4/8/1983 (36),"6' 3"", 205 lbs",OSP,"80""",Southpaw,Knoxville MMA,,Light Heavyweight
sara-mcmann,,USA,9/24/1980 (39),"5' 6"", 135 lbs",,"66""",Orthodox,Revolution MMA,,Women's Bantamweight
sheila-gaff,,Germany,12/29/1989 (29),"5' 5"", 135 lbs",The German Tank,"62""",Orthodox,,,Women's Bantamweight
kurt-holobaugh,,USA,9/8/1986 (33),"5' 11"", 155 lbs",,"70""",Orthodox,Gracie United,,Featherweight
jonathan-lemke,,USA,,"5' 8"", 155 lbs",,,,,,
george-reagan,,,,,,,,,,
luke-rockhold,,USA,10/17/1984 (35),"6' 3"", 205 lbs",,"77""",Southpaw,AKA (American Kickboxing Academy),,Middleweight
jacare-souza,,Brazil,12/7/1979 (39),"6' 1"", 205 lbs",Jacare,"72""",Orthodox,X-Gym,,Middleweight
joao-zeferino,,Brazil,1/15/1986 (33),"5' 11"", 170 lbs",The Brazilian Samurai,,Orthodox,Renzo Gracie Jiu-Jitsu,,
michel-prazeres,,Brazil,7/25/1981 (38),"5' 6"", 170 lbs",Tractor,"67.5""",Orthodox,Coalizao Fight Team,,Welterweight
iliarde-santos,,Brazil,9/25/1980 (39),"5' 5"", 125 lbs",,"66""",Orthodox,,,Flyweight
kj-noons,,USA,12/7/1982 (36),"5' 10"", 170 lbs",,"70""",Orthodox,The Arena,,Lightweight
robert-whittaker,,Australia,12/20/1990 (28),"6' 0"", 185 lbs",The Reaper,"73.5""",Orthodox,PMA Super Martial Arts Centre,,Middleweight
estevan-payan,,USA,4/3/1982 (37),"5' 10"", 155 lbs",El Terrible,"72""",Orthodox,Arizona Combat Sports,,Featherweight
leonardo-santos,,Brazil,2/5/1980 (39),"6' 0"", 155 lbs",Nenhum,"75""",Orthodox,Nova Uniao,,Lightweight
william-macario,,Brazil,7/1/1991 (28),"5' 11"", 170 lbs",Patolino,"75""",Orthodox,,,Welterweight
rafael-cavalcante,,,,,,,,,,
eddie-mendez,,USA,,,,,,,,
leandro-silva,,Brazil,11/11/1985 (33),"5' 9"", 155 lbs",Buscape,"72""",Orthodox,,,Lightweight
mizuto-hirota,,Japan,5/5/1981 (38),"5' 7"", 155 lbs",Pugnus,"67.5""",Orthodox,Cave,,Lightweight
antonio-braga-neto,,Brazil,10/29/1987 (31),"6' 3"", 185 lbs",,"77""",Orthodox,Gracie Fusion,,Middleweight
anthony-smith,,USA,7/26/1988 (31),"6' 4"", 205 lbs",Lionheart,"76""",Orthodox,FactoryX Muay Thai,,Light Heavyweight
alexis-davis,,Canada,10/4/1984 (35),"5' 6"", 125 lbs",,"68""",Orthodox,Cesar Gracie Jiu-Jitsu,,Women's Flyweight
rosi-sexton,,England,7/16/1977,,The Surgeon,"63""",Orthodox,,,Women's Bantamweight
james-krause,,USA,6/4/1986 (33),"6' 2"", 170 lbs",The James Krause,"73.5""",Orthodox,Glory MMA & Fitness,,Welterweight
roger-gracie,,Brazil,9/26/1981 (38),"6' 4"", 205 lbs",,"79""",Orthodox,Black House MMA,,Light Heavyweight
tim-kennedy,,USA,9/1/1979 (40),"5' 11"", 185 lbs",,"74""",Orthodox,Jackson-Wink MMA,,Middleweight
brian-melancon,,USA,5/28/1982,,,,Orthodox,Paradigm/Main Street Boxing Gym,,
jessica-andrade,,Brazil,9/25/1991 (28),"5' 1"", 115 lbs",Bate Estaca,"62""",Orthodox,Parana Vale Tudo,,Women's Strawweight
trevor-smith,,USA,1/5/1981 (38),"6' 3"", 205 lbs",Hot Sauce,"75""",Orthodox,Ring Demon Jiu-Jitsu,,Middleweight
julie-kedzie,,USA,3/18/1981,,Fireball,"64.5""",Orthodox,Jackson-Wink MMA,,Women's Bantamweight
germaine-de-randamie,,Netherlands,4/24/1984 (35),"5' 9"", 135 lbs",The Iron Lady,"71""",Orthodox,AKA (American Kickboxing Academy),,Women's Bantamweight
thiago-santos,,Brazil,1/7/1984 (35),"6' 2"", 205 lbs",Marreta,"76""",Orthodox,American Top Team,,Light Heavyweight
jose-maria,,Brazil,1/4/1982 (37),"5' 5"", 125 lbs",No Chance,,Orthodox,,,Flyweight
amanda-nunes,,Brazil,5/30/1988 (31),"5' 8"", 135 lbs",The Lioness,"69""",Orthodox,American Top Team,,Women's Bantamweight
francimar-barroso,,Brazil,2/28/1980 (39),"6' 1"", 265 lbs",Bodao,"75""",Orthodox,Nova Uniao,,Light Heavyweight
viscardi-andrade,,Brazil,3/8/1984 (35),"6' 0"", 170 lbs",,"75""",Orthodox,Gracie Fusion,,Welterweight
james-vick,,USA,2/23/1987 (32),"6' 3"", 170 lbs",The Texecutioner,"76""",Orthodox,Team Lloyd Irvin,,Lightweight
brandon-thatch,,USA,7/11/1985 (34),"6' 2"", 170 lbs",Rukus,"74.5""",Switch,Elevation Fight Team,,Welterweight
zak-cummings,,USA,8/2/1984 (35),"6' 0"", 185 lbs",,"75""",Southpaw,Glory MMA & Fitness,,Middleweight
josh-barnett,,USA,11/10/1977 (41),"6' 3"", 255 lbs",The Warmaster,"78""",Orthodox,UWF-USA,,Heavyweight
hyun-gyu-lim,,Korea,1/16/1985 (34),"6' 3"", 170 lbs",The Ace,"77""",Orthodox,Korean Top Team,,Welterweight
kyung-ho-kang,,Korea,9/9/1987 (32),"5' 9"", 135 lbs",Mr. Perfect,"73""",Orthodox,Busan Team M.A.D.,,Bantamweight
nikita-krylov,,Ukraine,3/7/1992 (27),"6' 3"", 205 lbs",The Miner,"77.5""",Orthodox,YK Promotion,,Light Heavyweight
al-iaquinta,,USA,4/30/1987 (32),"5' 9"", 155 lbs",Raging,"70""",Orthodox,Serra-Longo Fight Team,,Lightweight
piotr-hallmann,,Poland,8/25/1987 (32),"5' 9"", 155 lbs",,"71.5""",Orthodox,,,Lightweight
